prev2_op,prev1_op,curr_op,next1_op,next2_op,op1,op2,is_alu,is_branch,is_mem,mem_read,mem_write,has_imm,reg_dependency,t_states,diagnostic_label
NOP,JMP,DEC,TEST,TEST,[BX],,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
JMP,DEC,TEST,TEST,SHL,BP,BX,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,TEST,TEST,SHL,DIV,DI,[SI],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
TEST,TEST,SHL,DIV,MUL,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,SHL,DIV,MUL,RET,AX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
SHL,DIV,MUL,RET,TEST,[DI],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
DIV,MUL,RET,TEST,DIV,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,RET,TEST,DIV,SHL,BX,0002H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
RET,TEST,DIV,SHL,MUL,SP,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
TEST,DIV,SHL,MUL,OR,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DIV,SHL,MUL,OR,NOP,BP,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
SHL,MUL,OR,NOP,POP,BX,0001H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
MUL,OR,NOP,POP,DEC,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
OR,NOP,POP,DEC,DIV,[BP],,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
NOP,POP,DEC,DIV,TEST,DX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,DEC,DIV,TEST,SUB,[DI],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
DEC,DIV,TEST,SUB,NOP,SI,[BX],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
DIV,TEST,SUB,NOP,LEA,DI,0002H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
TEST,SUB,NOP,LEA,PUSH,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,NOP,LEA,PUSH,CALL,DX,0002H,0,0,1,0,0,1,0,6.0,ALU_OPTIMAL
NOP,LEA,PUSH,CALL,DEC,[BX],,0,0,1,1,0,0,0,6.0,MEMORY_BOUND
LEA,PUSH,CALL,DEC,INC,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
PUSH,CALL,DEC,INC,DEC,CX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,DEC,INC,DEC,SUB,SI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,INC,DEC,SUB,LEA,SI,,1,0,0,0,0,0,1,4.0,DATA_DEPENDENCY
INC,DEC,SUB,LEA,SHL,SI,00FFH,1,0,0,0,0,1,1,4.0,DATA_DEPENDENCY
DEC,SUB,LEA,SHL,SHR,AX,BP,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
SUB,LEA,SHL,SHR,OR,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
LEA,SHL,SHR,OR,MOV,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SHL,SHR,OR,MOV,RET,AX,BX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SHR,OR,MOV,RET,PUSH,SP,1234H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
OR,MOV,RET,PUSH,AND,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,RET,PUSH,AND,INT,BX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
RET,PUSH,AND,INT,SHL,DI,BP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
PUSH,AND,INT,SHL,SHL,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,INT,SHL,SHL,MOV,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,SHL,SHL,MOV,MOV,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SHL,SHL,MOV,MOV,MUL,BP,[BX],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
SHL,MOV,MOV,MUL,AND,SP,0002H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
MOV,MOV,MUL,AND,SHL,DI,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
MOV,MUL,AND,SHL,AND,[DI],DX,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
MUL,AND,SHL,AND,SHL,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,SHL,AND,SHL,SUB,[BP],DX,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
SHL,AND,SHL,SUB,OR,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,SHL,SUB,OR,MOV,BX,[BX],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
SHL,SUB,OR,MOV,SUB,AX,CX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,OR,MOV,SUB,OR,DX,[BX],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
OR,MOV,SUB,OR,MOV,[SI],CX,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
MOV,SUB,OR,MOV,INT,DI,1234H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
SUB,OR,MOV,INT,ADD,AX,SI,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
OR,MOV,INT,ADD,SHL,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,INT,ADD,SHL,MUL,[DI],DI,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
INT,ADD,SHL,MUL,CMP,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
ADD,SHL,MUL,CMP,DIV,AX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
SHL,MUL,CMP,DIV,CMP,[DI],DX,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
MUL,CMP,DIV,CMP,POP,[BP],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
CMP,DIV,CMP,POP,SHR,SP,00FFH,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
DIV,CMP,POP,SHR,AND,[BX],,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
CMP,POP,SHR,AND,JZ,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,SHR,AND,JZ,CALL,CX,CX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SHR,AND,JZ,CALL,TEST,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,JZ,CALL,TEST,SHL,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
JZ,CALL,TEST,SHL,TEST,DX,DI,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,TEST,SHL,TEST,CALL,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,SHL,TEST,CALL,XOR,DX,[BX],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
SHL,TEST,CALL,XOR,SHL,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,CALL,XOR,SHL,TEST,SI,SI,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,XOR,SHL,TEST,JNE,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
XOR,SHL,TEST,JNE,JMP,DX,0001H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
SHL,TEST,JNE,JMP,DEC,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,JNE,JMP,DEC,CALL,FAR_LABEL,,0,1,0,0,0,0,1,4.0,DATA_DEPENDENCY
JNE,JMP,DEC,CALL,MUL,SI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JMP,DEC,CALL,MUL,SUB,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,CALL,MUL,SUB,SHR,[BP],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
CALL,MUL,SUB,SHR,LEA,DI,AX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,SUB,SHR,LEA,PUSH,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,SHR,LEA,PUSH,LEA,SP,0002H,0,0,1,0,0,1,0,6.0,ALU_OPTIMAL
SHR,LEA,PUSH,LEA,SUB,CX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
LEA,PUSH,LEA,SUB,ADD,AX,CX,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
PUSH,LEA,SUB,ADD,SUB,SI,[BP],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
LEA,SUB,ADD,SUB,SHR,DI,BP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,ADD,SUB,SHR,JMP,DI,1234H,1,0,0,0,0,1,1,4.0,DATA_DEPENDENCY
ADD,SUB,SHR,JMP,AND,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,SHR,JMP,AND,PUSH,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
SHR,JMP,AND,PUSH,JMP,SI,[DI],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
JMP,AND,PUSH,JMP,INC,CX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
AND,PUSH,JMP,INC,JZ,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
PUSH,JMP,INC,JZ,RET,SP,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JMP,INC,JZ,RET,CMP,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
INC,JZ,RET,CMP,JNE,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
JZ,RET,CMP,JNE,TEST,SP,0002H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
RET,CMP,JNE,TEST,XOR,SHORT_LABEL,,0,1,0,0,0,0,0,18.0,CONTROL_FLOW_HAZARD
CMP,JNE,TEST,XOR,AND,[BX],CX,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
JNE,TEST,XOR,AND,POP,[DI],AX,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
TEST,XOR,AND,POP,NOP,[SI],SI,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
XOR,AND,POP,NOP,CMP,AX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
AND,POP,NOP,CMP,JNE,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,NOP,CMP,JNE,MOV,DX,[DI],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
NOP,CMP,JNE,MOV,XOR,SHORT_LABEL,,0,1,0,0,0,0,0,18.0,CONTROL_FLOW_HAZARD
CMP,JNE,MOV,XOR,RET,[BX],BX,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
JNE,MOV,XOR,RET,MUL,CX,BP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,XOR,RET,MUL,INT,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
XOR,RET,MUL,INT,MOV,BX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
RET,MUL,INT,MOV,MUL,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,INT,MOV,MUL,JNE,[SI],DX,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
INT,MOV,MUL,JNE,MUL,BX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
MOV,MUL,JNE,MUL,MUL,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,JNE,MUL,MUL,MUL,BX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
JNE,MUL,MUL,MUL,CMP,DX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
MUL,MUL,MUL,CMP,SHR,[BP],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
MUL,MUL,CMP,SHR,JMP,[BP],AX,0,0,1,0,1,0,1,10.0,MEMORY_BOUND
MUL,CMP,SHR,JMP,JNE,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CMP,SHR,JMP,JNE,DIV,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
SHR,JMP,JNE,DIV,JZ,SHORT_LABEL,,0,1,0,0,0,0,1,4.0,DATA_DEPENDENCY
JMP,JNE,DIV,JZ,AND,[DI],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
JNE,DIV,JZ,AND,SHR,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
DIV,JZ,AND,SHR,RET,CX,BP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JZ,AND,SHR,RET,RET,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,SHR,RET,RET,INT,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
SHR,RET,RET,INT,SHL,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
RET,RET,INT,SHL,MUL,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
RET,INT,SHL,MUL,CALL,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,SHL,MUL,CALL,CMP,DI,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
SHL,MUL,CALL,CMP,NOP,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,CALL,CMP,NOP,SUB,CX,AX,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,CMP,NOP,SUB,CMP,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CMP,NOP,SUB,CMP,CALL,DX,[SI],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
NOP,SUB,CMP,CALL,ADD,SI,[BP],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
SUB,CMP,CALL,ADD,SUB,FAR_LABEL,,0,1,0,0,0,0,0,18.0,ALU_OPTIMAL
CMP,CALL,ADD,SUB,MUL,DX,BX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,ADD,SUB,MUL,INC,DX,[SI],1,0,1,1,0,0,1,8.0,MEMORY_BOUND
ADD,SUB,MUL,INC,AND,BX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
SUB,MUL,INC,AND,CALL,[DI],,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
MUL,INC,AND,CALL,NOP,BX,[BX],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
INC,AND,CALL,NOP,JNE,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,CALL,NOP,JNE,PUSH,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,NOP,JNE,PUSH,TEST,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,JNE,PUSH,TEST,POP,DX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
JNE,PUSH,TEST,POP,MUL,BX,AX,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
PUSH,TEST,POP,MUL,OR,[DI],,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
TEST,POP,MUL,OR,RET,[BP],,1,0,1,1,0,0,0,124.0,MEMORY_BOUND
POP,MUL,OR,RET,MUL,AX,SP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,OR,RET,MUL,MUL,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
OR,RET,MUL,MUL,JNE,AX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
RET,MUL,MUL,JNE,MOV,BX,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
MUL,MUL,JNE,MOV,TEST,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,JNE,MOV,TEST,JNE,CX,DX,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,MOV,TEST,JNE,JNE,[BP],SI,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
MOV,TEST,JNE,JNE,AND,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,JNE,JNE,AND,JZ,FAR_LABEL,,0,1,0,0,0,0,1,4.0,DATA_DEPENDENCY
JNE,JNE,AND,JZ,MOV,[BX],BP,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
JNE,AND,JZ,MOV,LEA,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,JZ,MOV,LEA,NOP,AX,SP,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JZ,MOV,LEA,NOP,CALL,DI,BP,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
MOV,LEA,NOP,CALL,PUSH,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
LEA,NOP,CALL,PUSH,CALL,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,CALL,PUSH,CALL,INC,AX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
CALL,PUSH,CALL,INC,JNE,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
PUSH,CALL,INC,JNE,INT,DI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,INC,JNE,INT,NOP,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
INC,JNE,INT,NOP,INC,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,INT,NOP,INC,INC,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,NOP,INC,INC,AND,BX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,INC,INC,AND,POP,AX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INC,INC,AND,POP,JNE,DI,SI,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INC,AND,POP,JNE,XOR,DX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
AND,POP,JNE,XOR,JNE,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,JNE,XOR,JNE,TEST,SP,1234H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
JNE,XOR,JNE,TEST,JNE,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
XOR,JNE,TEST,JNE,LEA,SP,00FFH,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
JNE,TEST,JNE,LEA,JNE,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
TEST,JNE,LEA,JNE,NOP,BX,[SI],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
JNE,LEA,JNE,NOP,LEA,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
LEA,JNE,NOP,LEA,DEC,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,NOP,LEA,DEC,SHR,DX,0002H,0,0,1,0,0,1,0,6.0,ALU_OPTIMAL
NOP,LEA,DEC,SHR,CMP,[SI],,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
LEA,DEC,SHR,CMP,SHL,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,SHR,CMP,SHL,POP,SP,0001H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
SHR,CMP,SHL,POP,OR,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CMP,SHL,POP,OR,JMP,DX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
SHL,POP,OR,JMP,DEC,BX,AX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,OR,JMP,DEC,TEST,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
OR,JMP,DEC,TEST,XOR,DI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JMP,DEC,TEST,XOR,NOP,[DI],SI,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
DEC,TEST,XOR,NOP,JMP,BX,1234H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
TEST,XOR,NOP,JMP,PUSH,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
XOR,NOP,JMP,PUSH,DEC,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,JMP,PUSH,DEC,ADD,CX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
JMP,PUSH,DEC,ADD,OR,[SI],,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
PUSH,DEC,ADD,OR,SHL,SI,00FFH,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
DEC,ADD,OR,SHL,JMP,SI,0001H,1,0,0,0,0,1,1,4.0,DATA_DEPENDENCY
